Day,Item,Price,Outcome
2,Chips,$1.00,Item sold successfully
2,Candy,$1.00,Item sold successfully
2,Candy,$1.00,Money was accepted and no item was sold.
2,Water,$0.75,Item sold successfully
2,Candy,$1.00,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Candy,$1.00,Item sold successfully
2,Water,$0.75,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Water,$0.75,Item sold successfully
2,Water,$0.75,Money was accepted and no item was sold.
2,Candy,$1.00,Item sold successfully
2,Candy,$1.00,Item sold successfully
2,Water,$0.75,Item sold successfully
2,Chips,$1.00,Money was accepted and no item was sold.
2,Water,$0.75,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Candy,$1.00,Item sold successfully
2,Water,$0.75,Item sold successfully
2,Candy,$1.00,Item sold successfully
2,Chips,$1.00,Item sold successfully
2,Water,$0.75,Item sold successfully
2,Coke,$1.50,Item sold successfully
2,Candy,$1.00,Item got stuck.
2,Coke,$1.50,Item sold successfully
2,Coke,$1.50,Item sold successfully
2,Coke,$1.50,Money was accepted and no item was sold.
2,Water,$0.75,Item sold successfully
2,Coke,$1.50,Money was accepted and no item was sold.
2,Candy,$1.00,Item sold successfully
2,Water,$0.75,Item sold successfully
2,Water,$0.75,Money was accepted and no item was sold.
2,Candy,$1.00,Item sold successfully
2,Candy,$1.00,Item got stuck.
2,Candy,$1.00,Item sold successfully
2,Chips,$1.00,Money was accepted and no item was sold.
2,Coke,$1.50,Money was accepted and no item was sold.
2,Water,$0.75,Item sold successfully
2,Water,$0.75,Item sold successfully
2,Coke,$1.50,Item sold successfully
2,Chips,$1.00,Money was accepted and no item was sold.
2,Coke,$1.50,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Chips,$1.00,Item sold successfully
3,Water,$0.75,Money was accepted and no item was sold.
3,Candy,$1.00,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Chips,$1.00,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Candy,$1.00,Item sold successfully
3,Water,$0.75,Money was accepted and no item was sold.
3,Water,$0.75,Item got stuck.
3,Chips,$1.00,Item sold successfully
3,Chips,$1.00,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Candy,$1.00,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Chips,$1.00,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Candy,$1.00,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Chips,$1.00,Item got stuck.
3,Chips,$1.00,Item sold successfully
3,Candy,$1.00,Item sold successfully
3,Candy,$1.00,Item sold successfully
3,Chips,$1.00,Item sold successfully
3,Chips,$1.00,Item got stuck.
3,Candy,$1.00,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Candy,$1.00,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Candy,$1.00,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Water,$0.75,Item sold successfully
3,Coke,$1.50,Item sold successfully
3,Candy,$1.00,Item sold successfully
3,Chips,$1.00,Item sold successfully
3,Chips,$1.00,Item sold successfully
3,Chips,$1.00,Money was accepted and no item was sold.
4,Water,$0.75,Item sold successfully
4,Coke,$1.50,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Chips,$1.00,Item sold successfully
4,Chips,$1.00,Item got stuck.
4,Chips,$1.00,Item sold successfully
4,Candy,$1.00,Money was accepted and no item was sold.
4,Coke,$1.50,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Candy,$1.00,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Candy,$1.00,Item sold successfully
4,Coke,$1.50,Item sold successfully
4,Candy,$1.00,Item sold successfully
4,Candy,$1.00,Item sold successfully
4,Chips,$1.00,Item sold successfully
4,Candy,$1.00,Item sold successfully
4,Chips,$1.00,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Coke,$1.50,Item sold successfully
4,Candy,$1.00,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Coke,$1.50,Money was accepted and no item was sold.
4,Candy,$1.00,Money was accepted and no item was sold.
4,Water,$0.75,Item sold successfully
4,Chips,$1.00,Item sold successfully
4,Coke,$1.50,Money was accepted and no item was sold.
4,Coke,$1.50,Item sold successfully
4,Candy,$1.00,Item sold successfully
4,Coke,$1.50,Item sold successfully
4,Chips,$1.00,Item sold successfully
4,Chips,$1.00,Item sold successfully
4,Candy,$1.00,Money was accepted and no item was sold.
4,Candy,$1.00,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Candy,$1.00,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Coke,$1.50,Item sold successfully
4,Coke,$1.50,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Water,$0.75,Item sold successfully
4,Chips,$1.00,Item sold successfully
4,Chips,$1.00,Item sold successfully
4,Coke,$1.50,Item sold successfully
5,Candy,$1.00,Item sold successfully
5,Candy,$1.00,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Chips,$1.00,Item sold successfully
5,Coke,$1.50,Item sold successfully
5,Chips,$1.00,Item sold successfully
5,Candy,$1.00,Money was accepted and no item was sold.
5,Water,$0.75,Item sold successfully
5,Coke,$1.50,Item sold successfully
5,Coke,$1.50,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Coke,$1.50,Item sold successfully
5,Coke,$1.50,Item sold successfully
5,Coke,$1.50,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Candy,$1.00,Money was accepted and no item was sold.
5,Water,$0.75,Item got stuck.
5,Water,$0.75,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Chips,$1.00,Item sold successfully
5,Candy,$1.00,Money was accepted and no item was sold.
5,Chips,$1.00,Item sold successfully
5,Coke,$1.50,Item sold successfully
5,Chips,$1.00,Item sold successfully
5,Chips,$1.00,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Coke,$1.50,Item got stuck.
5,Coke,$1.50,Item sold successfully
5,Candy,$1.00,Item sold successfully
5,Chips,$1.00,Item sold successfully
5,Chips,$1.00,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Coke,$1.50,Money was accepted and no item was sold.
5,Coke,$1.50,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Candy,$1.00,Item sold successfully
5,Candy,$1.00,Item sold successfully
5,Candy,$1.00,Item sold successfully
5,Water,$0.75,Item got stuck.
5,Water,$0.75,Item got stuck.
5,Chips,$1.00,Item sold successfully
5,Candy,$1.00,Item sold successfully
5,Candy,$1.00,Item sold successfully
5,Chips,$1.00,Item sold successfully
5,Candy,$1.00,Item got stuck.
5,Coke,$1.50,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Coke,$1.50,Item sold successfully
5,Chips,$1.00,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Candy,$1.00,Money was accepted and no item was sold.
5,Water,$0.75,Item got stuck.
5,Water,$0.75,Item sold successfully
5,Water,$0.75,Item sold successfully
5,Candy,$1.00,Item sold successfully
5,Coke,$1.50,Item sold successfully
5,Water,$0.75,Item got stuck.
5,Coke,$1.50,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Coke,$1.50,Money was accepted and no item was sold.
6,Candy,$1.00,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Chips,$1.00,Money was accepted and no item was sold.
6,Coke,$1.50,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Coke,$1.50,Money was accepted and no item was sold.
6,Candy,$1.00,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Water,$0.75,Item sold successfully
6,Water,$0.75,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Candy,$1.00,Item got stuck.
6,Candy,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Water,$0.75,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Coke,$1.50,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Chips,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
6,Candy,$1.00,Item sold successfully
7,Coke,$1.50,Item sold successfully
7,Candy,$1.00,Money was accepted and no item was sold.
7,Chips,$1.00,Item sold successfully
7,Chips,$1.00,Item sold successfully
7,Chips,$1.00,Item sold successfully
7,Coke,$1.50,Item sold successfully
7,Chips,$1.00,Item sold successfully
7,Chips,$1.00,Item sold successfully
7,Coke,$1.50,Item got stuck.
7,Candy,$1.00,Item sold successfully
7,Candy,$1.00,Item sold successfully
7,Chips,$1.00,Item sold successfully
7,Water,$0.75,Item sold successfully
7,Candy,$1.00,Money was accepted and no item was sold.
7,Chips,$1.00,Item sold successfully
7,Candy,$1.00,Item sold successfully
7,Candy,$1.00,Item sold successfully
7,Water,$0.75,Item sold successfully
7,Coke,$1.50,Item sold successfully
7,Coke,$1.50,Money was accepted and no item was sold.
7,Coke,$1.50,Item sold successfully
7,Candy,$1.00,Item sold successfully
7,Water,$0.75,Item sold successfully
7,Chips,$1.00,Item got stuck.
7,Candy,$1.00,Item sold successfully
7,Candy,$1.00,Item sold successfully
7,Water,$0.75,Item sold successfully
7,Water,$0.75,Item sold successfully
7,Water,$0.75,Item sold successfully
7,Coke,$1.50,Item sold successfully
7,Chips,$1.00,Item sold successfully
7,Water,$0.75,Item sold successfully
7,Candy,$1.00,Item sold successfully
7,Chips,$1.00,Item sold successfully
7,Coke,$1.50,Item sold successfully
7,Coke,$1.50,Item sold successfully
7,Chips,$1.00,Item sold successfully
7,Candy,$1.00,Money was accepted and no item was sold.
7,Water,$0.75,Item sold successfully
7,Chips,$1.00,Item got stuck.
7,Candy,$1.00,Item sold successfully
7,Water,$0.75,Item sold successfully
7,Candy,$1.00,Item sold successfully
7,Candy,$1.00,Item sold successfully
7,Coke,$1.50,Item sold successfully
